,site,sales,period_of_day,headcount
0,site1,246.75848046216643,morning,2.0
1,site1,248.5347369148756,morning,2.0
2,site1,233.07216741302096,morning,2.0
3,site1,247.76639194272795,morning,2.0
4,site1,235.31511751050368,morning,2.0
5,site1,248.30967637248136,morning,2.0
6,site1,241.72554586637835,morning,2.0
7,site1,248.66277857764197,morning,2.0
8,site1,246.28248452356297,morning,2.0
9,site1,336.5879132323545,morning,4.0
10,site1,244.63444087363538,morning,2.0
11,site1,245.16776922056482,morning,2.0
12,site1,235.88977556169894,morning,2.0
13,site1,335.5449747489765,morning,4.0
14,site1,254.82471851600238,morning,3.0
15,site1,254.86024674357557,morning,3.0
16,site1,254.97209711070226,morning,3.0
17,site1,242.72721754662135,morning,2.0
18,site1,258.4165673714486,morning,3.0
19,site1,335.7387254084437,morning,4.0
20,site1,338.585753700301,morning,4.0
21,site1,333.2301974164012,morning,4.0
22,site1,246.53096076883702,morning,2.0
23,site1,243.82750030033156,morning,2.0
24,site1,253.09975864518677,morning,3.0
25,site1,251.4214475016834,morning,3.0
26,site1,245.31057706172257,morning,2.0
27,site1,256.8476425991886,morning,3.0
28,site1,253.57048586128056,morning,3.0
29,site1,251.02310826955264,morning,3.0
30,site1,341.478275241908,morning,4.0
31,site1,242.49579713593334,morning,2.0
32,site1,253.20731183701224,morning,3.0
33,site1,246.0237916520123,morning,2.0
34,site1,255.07476428268936,morning,3.0
35,site1,255.43742711050737,morning,3.0
36,site1,343.06270418452283,morning,4.0
37,site1,255.74599128882988,morning,3.0
38,site1,251.42824094061336,morning,3.0
39,site1,255.11859688295232,morning,3.0
40,site1,244.7602987585653,morning,2.0
41,site1,228.51483039657495,morning,2.0
42,site1,238.7903525373905,morning,2.0
43,site1,248.2415576634348,morning,2.0
44,site1,250.84936143696902,morning,3.0
45,site1,243.12974358430844,morning,2.0
46,site1,240.63713398448405,morning,2.0
47,site1,254.56317483222202,morning,3.0
48,site1,258.8140360680403,morning,3.0
49,site1,246.78975771005972,morning,2.0
50,site1,246.25725392238607,morning,2.0
51,site1,336.6126524880834,morning,4.0
52,site1,243.579431091653,morning,2.0
53,site1,257.2941796590481,morning,3.0
54,site1,259.48864485167763,morning,3.0
55,site1,242.87152490743478,morning,2.0
56,site1,247.29550432445316,morning,2.0
57,site1,256.82443918777545,morning,3.0
58,site1,332.6978759779059,morning,4.0
59,site1,243.36864295615354,morning,2.0
60,site1,238.37661875263146,morning,2.0
61,site1,344.86281061366935,morning,4.0
62,site1,243.33734598030898,morning,2.0
63,site1,246.26230147346206,morning,2.0
64,site1,248.02514667694487,morning,2.0
65,site1,258.917306883805,morning,3.0
66,site1,236.85157742667553,morning,2.0
67,site1,235.44126920908232,morning,2.0
68,site1,256.2587359398946,morning,3.0
69,site1,255.6156812379929,morning,3.0
70,site1,238.92755653873854,morning,2.0
71,site1,250.39431241889983,morning,3.0
72,site1,243.32290152232216,morning,2.0
73,site1,257.4801048463405,morning,3.0
74,site1,251.63274605052052,morning,3.0
75,site1,241.30309842470479,morning,2.0
76,site1,257.0249840043221,morning,3.0
77,site1,236.54286328165685,morning,2.0
78,site1,246.7302875460931,morning,2.0
79,site1,332.70482840168427,morning,4.0
80,site1,335.3419027446107,morning,4.0
81,site1,338.09252806961814,morning,4.0
82,site1,241.72324855902684,morning,2.0
83,site1,260.3110345102888,morning,3.0
84,site1,254.89275029392763,morning,3.0
85,site1,249.66342831747653,morning,3.0
86,site1,257.7607122539933,morning,3.0
87,site1,230.04126163550288,morning,2.0
88,site1,248.47677450993984,morning,2.0
89,site1,236.8935900670521,morning,2.0
